,Tank,Name,Score,Proof,Gamemode,Info,Build,,,,,,,,,,Date of Death,Server
,TOP 250 Scores,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Auto Builder,byekc,8757742,https://cdn.discordapp.com/attachments/1044131085463851028/1059885110880645180/Ekran_Goruntusu_4214.png,2TDM,,2,3,4,7,7,7,4,8,0,0,3rd January 2023,EUROPE
,Surfer,Stradpult,8708932,https://media.discordapp.net/attachments/454578417745133580/764495802529087498/unknown.png?width=1204&height=677,FFA,Legacy,,,,,,,,,,,,
,Overlord,byekc,8685803,https://cdn.discordapp.com/attachments/904322106207121448/977276527479771226/unknown.png,4TDM,,2,3,9,7,7,7,0,7,0,0,11th May 2022,EUROPE
,Overlord,Marcus,8643569,https://imgur.com/a/90HdDrY,2TDM,,,,,,,,,,,,,
,Auto Overseer,Skrialik,8631304,https://imgur.com/a/ab0WZDx,4TDM,,,,,,,,,,,,,
,Destroyer,Smiley,8619700,https://imgur.com/a/aEKAbjg,4TDM,,,,,,,,,,,,,
,Auto Smasher,Nyrox,8604466,https://imgur.com/a/Q20RDf1,2TDM,,,,,,,,,,,,,
,Landmine,🎋,8505828,https://media.discordapp.net/attachments/1119046479055691808/1142394110511165532/d4a2abf6-09ec-4f56-96be-2e8f0cce4440.png,2TDM,,,,,,,,,,,,,
,Manager,Lamp,8498114,https://imgur.com/a/RagDDus,2TDM,,,,,,,,,,,,,
,Ranger,Mr.Hacker YT,8463785,https://imgur.com/gallery/wtYZgfh,2TDM,,,,,,,,,,,,,
,Bomber,Vangu,8440849,https://imgur.com/a/V04ayJi,4TDM,,,,,,,,,,,,,
,Bent Double,Corrupt Y,8432982,https://cdn.discordapp.com/attachments/866023322529955870/1022725741626015764/Screenshot_423.png,2TDM,,,,,,,,,,,,,
,Armsman,Para,8425280,https://imgur.com/gallery/wpfro1Q,2TDM,,,,,,,,,,,,,
,Fighter,bean,8398505,https://imgur.com/a/fl82NLN,4TDM,Legacy,,,,,,,,,,,,
,Manager,Awootube,8384128,https://cdn.discordapp.com/attachments/866023322529955870/1099093084307988550/screenshot_-_2023-04-21T174616.253.png,Portal TDM,,,,,,,,,,,,,
,Overdrive,Skrialik,8377046,https://imgur.com/a/TLLyeD0,4TDM,,,,,,,,,,,,,
,Mega Smasher,Ö.,8344968,https://imgur.com/a/un0HoEd,4TDM,Legacy,,,,,,,,,,,,
,Streamliner,zo,8333724,https://imgur.com/a/JHXjzF9,4TDM,,,,,,,,,,,,,
