CellImage,,Top 250 Arras Scores of All Time       ,,,,,,,,,,,,,,,,,,
,Rank,Score,Name,Tank,,Gamemode,Info,Proof,working on it...,,,,,,,,,,Date,Server
,71,10114098,Awootube,CellImage,Auto Assassin,2TDM,,https://imgur.com/a/2nx5L2W,2,2,5,7,7,7,6,6,0,0,11th March 2023,USA
,72,10102087,Corrupt Y,CellImage,Auto Assassin,2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1037903160318119996/unknown.png,2,2,5,6,7,7,5,8,0,0,4th November 2022,USA
,73,10100386,Nyrox,CellImage,Manager,4TDM,,https://imgur.com/a/0wjdGvs,2,3,7,7,7,7,2,7,0,0,16th April 2022,EUROPE
,74,10070753,Stradpult,CellImage,Fighter,FFA,Legacy,https://imgur.com/gallery/uljVxNX,2,2,2,7,8,8,7,6,0,0,8th May 2019,EUROPE
,75,10065712,Ö.,CellImage,Overtrapper,Maze 2TDM,,https://imgur.com/a/ndpbcEb,2,3,8,7,7,7,2,6,0,0,27th March 2023,EUROPE
,76,10062282,noscore,CellImage,Overlord,2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1098156128078143538/screenshot_-_2023-04-19T125832.471.png,2,2,9,7,7,7,1,7,0,0,19th April 2023,ASIA
,77,10059466,Slade,CellImage,Ranger,4TDM,,https://cdn.discordapp.com/attachments/866023322529955870/896235033591967794/screenshot_-_2021-10-08T231624.254.png,2,2,4,7,8,7,6,6,0,0,8th October 2021,USA
,78,10038902,Jess,CellImage,Overlord,4TDM,,https://cdn.discordapp.com/attachments/856614995802325032/1097349236338728970/screenshot_-_2023-04-16T223236.669.png,2,2,9,7,7,7,1,7,0,0,17th April 2023,USA
,79,10038528,Jess,CellImage,Carrier,4TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1127078236749312040/screenshot54.png,2,2,5,7,7,7,6,6,0,0,8th July 2023,USA
,80,10037643,Salla,CellImage,Overlord,Portal TDM,,https://cdn.discordapp.com/attachments/1110695177498144872/1111235959120461885/ol_pm4_lastscore.png,2,2,7,7,6,7,3,7,1,0,25th May 2023,USA
,81,10035502,Colon,CellImage,Overlord,2TDM,,https://cdn.discordapp.com/attachments/1089763071788072980/1129791314020552804/screenshot_-_2023-07-15T061327.png,2,2,9,7,6,8,1,7,0,0,15th July 2023,EUROPE
,82,10023367,Thing,CellImage,Streamliner,4TDM,,https://imgur.com/a/c8e7R3d,,,,,,,,,,,,
,83,10022818,ια,CellImage,Manager,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1142342051107713154/screenshot_-_2023-08-18T231603.628.png,2,2,9,8,5,8,2,6,0,0,19th August 2023,USA
,84,10020000,Marcus,CellImage,Overlord,4TDM,,https://cdn.discordapp.com/attachments/559793341143711767/1116115305358426173/marcus10moverlordproof.png,,,,,,,,,,,,
,85,10019396,cyan,CellImage,Banshee,2TDM,TBR,https://cdn.discordapp.com/attachments/866023322529955870/1153712845284974592/screenshot_-_2023-09-19T215349.963.png,,,,,,,,,,,,
,86,10015851,Corrupt Y,CellImage,Underseer,2TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1147683639736418334/image.png,2,2,9,7,7,7,0,8,0,0,3rd September 2023,USA
,87,10014240,Para,CellImage,Ordnance,2TDM,,https://cdn.discordapp.com/attachments/1070469925765926952/1086529767156756541/screenshot_-_2023-03-18T000119.479.png,,,,,,,,,,,,
,88,10011112,bum,CellImage,Crossbow,2TDM,,https://imgur.com/a/svSdvVH,2,2,4,7,8,7,6,6,0,0,4th October 2022,EUROPE
,89,10010810,Harry,CellImage,Overseer,2TDM,TBR,https://cdn.discordapp.com/attachments/867893054689247252/1118450232380899358/screenshot_-_2023-05-28T214114.png,,,,,,,,,,,,
,90,10009654,Smiley,CellImage,Overlord,2TDM,,https://imgur.com/a/diNokDG,2,3,7,7,7,7,1,8,0,0,1st August 2022,EUROPE
,91,10008164,Mr.Hacker YT,CellImage,Machine Gunner,4TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1144031021646483527/screenshot_-_2023-08-23T150754.258.png,,,,,,,,,,,,
,92,10006325,Mr.Hacker YT,CellImage,Auto Overseer,2TDM,TBR,https://cdn.discordapp.com/attachments/1146049737494114356/1147760083908964372/screenshot_-_2023-09-02T220812.419.png,2,3,9,8,5,8,1,6,0,0,3rd September 2023,ASIA
,93,10004882,Slade,CellImage,Beekeeper,4TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1138137339810562118/WeQ1hzP.png,,,,,,,,,,,,
,94,10000379,Mr.Hacker YT,CellImage,Predator,2TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1147380776699187220/screenshot_-_2023-09-01T210030.895.png,,,,,,,,,,,,
,95,10000104,ExC,CellImage,Predator,2TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1148470403216462004/image.png,2,2,4,8,6,8,6,6,0,0,5th September 2023,USA
,96,10000013,ια,CellImage,Battleship,2TDM,,https://cdn.discordapp.com/attachments/887171000171642900/1089013948789031014/screenshot_-_2023-03-24T192312.161.png,,,,,,,,,,,,
,97,9976326,Rog456,CellImage,Basic,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1129933583176433704/EE8D1080-DE44-46C3-A8E8-62CDB194F7BD.png,2,3,4,8,5,8,6,6,0,0,16th July 2023,USA
,98,9930000,Ussnub,CellImage,Carrier,2TDM,,https://cdn.discordapp.com/attachments/1125564247275999282/1125564937784275034/9.93_mil.png,,,,,,,,,,,,
,99,9900126,Nyrox,CellImage,Auto Overseer,2TDM,,https://imgur.com/a/tqHAmsH,2,3,7,7,7,7,1,8,0,0,31th May 2022,EUROPE
,100,9787467,Harry,CellImage,Auto Assassin,2TDM,,https://imgur.com/a/X6iIVv3,,,,,,,,,,,,
,101,9770955,Jess,CellImage,Overlord,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1146814825079517265/image.png,2,2,9,8,5,8,1,7,0,0,31st August 2023,USA
,102,9696999,Para,CellImage,Rifle,4TDM,,https://imgur.com/gallery/NHaWUgK,,,,,,,,,,,,
,103,9676123,Corrupt Y,CellImage,Spawner,2TDM,Legacy,https://cdn.discordapp.com/attachments/866023322529955870/1038164717597904946/Screenshot_711.png,4,4,3,7,7,7,2,7,0,2,4th November 2022,USA
,104,9639305,Despair,CellImage,Auto Overseer,2TDM,,https://cdn.discordapp.com/attachments/1145412502625206422/1148621625818886214/image.png,,,,,,,,,,,,
,105,9617577,crong,CellImage,Landmine,Portal TDM,,https://imgur.com/a/SDRZ7MI,4,12,,,,,2,12,12,0,3rd September 2020,USA
,106,9595755,Ö.,CellImage,Stalker,2TDM,TBR,https://cdn.discordapp.com/attachments/395646588682240020/1083082112195907615/screenshot_-_2023-03-08T184043.916.png,,,,,,,,,,,,
,107,9586016,Stradpult,CellImage,Auto-5,FFA,Legacy,https://imgur.com/gallery/oH1wsYj,2,2,5,7,7,7,5,7,0,0,27th July 2019,EUROPE
,108,9533746,Thing,CellImage,Auto Assassin,4TDM,,https://imgur.com/a/3tyXdPH,,,,,,,,,,,,
,109,9482940,Marcus,CellImage,Assassin,4TDM,,https://imgur.com/a/SFTFxTX,2,3,4,7,7,7,4,8,0,0,18th March 2023,EUROPE
,110,9445629,Ö.,CellImage,Flank Guard,4TDM,,https://cdn.discordapp.com/attachments/1066451260611506236/1098356746847789136/screenshot_-_2023-04-19T225209.608.png,,,,,,,,,,,,
,111,9424047,Rog456,CellImage,Poacher,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1138561175936848005/0B9F2B52-9F0D-4299-BA24-E0BD9829D665.png,2,2,5,8,5,8,6,6,0,0,8th August 2023,USA
,112,9421794,Smiley,CellImage,Hybrid,4TDM,,https://imgur.com/a/YRsldB4,,,,,,,,,,,,
,113,9352891,pedal,CellImage,Trap Guard,4TDM,,https://imgur.com/a/3AK5MJI,9,9,0,0,0,0,9,9,6,0,February 10th 2020,USA
